Num,FullName,FirstName,LastName,Pos,Ht,Wt,Birth Date,Team
1,Don Simmons,Don,Simmons,G,42500,150,September 13 1931,3
8,Dallas Smith,Dallas,Smith,D,42501,180,October 10 1941,3
7,Vic Stasiuk,Vic,Stasiuk,LW,36678,185,May 23 1929,3
18,Orval Tessier,Orval,Tessier,C,42498,160,June 30 1933,3
21,Jerry Toppazzini,Jerry,Toppazzini,RW,36678,180,July 29 1931,3
11,Dave Balon,Dave,Balon,LW,42500,180,August 2 1938,4
9,Andy Bathgate,Andy,Bathgate,RW,36678,180,August 28 1932,4
19,Danny Belisle,Danny,Belisle,RW,42500,164,May 9 1937,4
14,Brian Cullen,Brian,Cullen,C,42500,160,November 11 1933,4
19,Bob Cunningham,Bob,Cunningham,C/LW,42501,168,February 26 1941,4
8,Lou Fontinato,Lou,Fontinato,D,42522,195,January 20 1932,4
4,Bill Gadsby,Bill,Gadsby,D,36678,180,August 8 1927,4
16,Rod Gilbert,Rod,Gilbert,RW,42499,180,July 1 1941,4
19,Wayne Hall,Wayne,Hall,LW,42499,165,May 22 1939,4
22,Ted Hampson,Ted,Hampson,C,42498,173,December 11 1936,4
2,John Hanna,John,Hanna,D,42501,175,April 5 1935,4
6,Pat Hannigan,Pat,Hannigan,LW,42500,183,March 5 1936,4
12,Andy Hebenton,Andy,Hebenton,RW,42499,180,October 3 1929,4
21,Camille Henry,Camille,Henry,C,42499,152,January 31 1933,4
3,Harry Howell,Harry,Howell,D,42522,195,December 28 1932,4
11,Ron Hutchinson,Ron,Hutchinson,C,42500,165,October 24 1936,4
10,Earl Ingarfield,Earl,Ingarfield,C,42501,185,October 25 1934,4
5,Don Johns,Don,Johns,D,36678,180,December 13 1937,4
11,Bob Kabel,Bob,Kabel,C,36678,183,November 11 1934,4
25,Orland Kurtenbach,Orland,Kurtenbach,C,42523,180,September 7 1936,4
18,Phil Latreille,Phil,Latreille,RW,42500,185,April 22 1938,4
18,Al LeBrun,Al,LeBrun,D,36678,185,December 1 1940,4
1,Jack McCartan,Jack,McCartan,G,42522,195,August 5 1935,4
2,Jim Morrison,Jim,Morrison,D,42500,183,October 11 1931,4
1,Marcel Paille,Marcel,Paille,G,42498,175,December 8 1932,4
19,Larry Popein,Larry,Popein,C,42500,165,August 11 1930,4
17,Dean Prentice,Dean,Prentice,LW,42501,180,October 5 1932,4
15,Noel Price,Noel,Price,D,36678,190,December 9 1935,4
14,Jean Ratelle,Jean,Ratelle,C,42522,180,October 3 1940,4
16,Leon Rochefort,Leon,Rochefort,RW,36678,185,May 4 1939,4
19,Len Ronson,Len,Ronson,LW,42499,175,July 8 1936,4
1,Joe Schaefer,Joe,Schaefer,G,42498,165,December 21 1924,4
18,Ken Schinkel,Ken,Schinkel,RW,42500,172,November 27 1932,4
6,Eddie Shack,Eddie,Shack,LW,42522,200,February 11 1937,4
19,Floyd Smith,Floyd,Smith,RW,42500,180,May 16 1935,4
15,Irv Spencer,Irv,Spencer,D,42500,180,December 4 1937,4
7,Red Sullivan,Red,Sullivan,C,42501,155,December 24 1929,4
16,Johnny Wilson,Johnny,Wilson,LW,42501,168,June 14 1929,4
1,Gump Worsley,Gump,Worsley,G,42497,180,May 14 1929,4
6,Ralph Backstrom,Ralph,Backstrom,C,42500,165,September 18 1937,5
4,Jean Beliveau,Jean,Beliveau,C,42524,205,August 31 1931,5
18,Marcel Bonin,Marcel,Bonin,W,42500,170,September 12 1932,5
15-24,Wayne Connelly,Wayne,Connelly,C,42500,170,December 16 1939,5
3,Jean Gauthier,Jean,Gauthier,D,42522,190,April 29 1937,5
15,Jean-Guy Gendron,Jean-Guy,Gendron,LW,42499,165,August 30 1934,5
5,Bernie Geoffrion,Bernie,Geoffrion,RW,42499,166,February 16 1931,5
20,Phil Goyette,Phil,Goyette,C,42501,170,October 31 1933,5
2,Doug Harvey,Doug,Harvey,D,42501,187,December 19 1924,5
8,Bill Hicke,Bill,Hicke,RW,42498,164,March 31 1938,5
29,Charlie Hodge,Charlie,Hodge,G,42496,150,July 28 1933,5
10,Tom Johnson,Tom,Johnson,D,36678,180,February 18 1928,5
19,Albert Langlois,Albert,Langlois,D,36678,205,November 6 1934,5
22,Don Marshall,Don,Marshall,C,42500,160,March 23 1932,5
12,Dickie Moore,Dickie,Moore,LW,42500,168,January 6 1931,5
25,Cliff Pennington,Cliff,Pennington,C,36678,170,April 18 1940,5
1,Jacques Plante,Jacques,Plante,G,36678,175,January 17 1929,5
23,Andre Pronovost,Andre,Pronovost,LW,42500,188,July 9 1936,5
14,Claude Provost,Claude,Provost,RW,42499,168,September 17 1933,5
16,Henri Richard,Henri,Richard,C,42497,160,February 29 1936,5
15-24,Bobby Rousseau,Bobby,Rousseau,RW,42500,178,July 26 1940,5
25,Glen Skov,Glen,Skov,C,42523,180,January 26 1931,5
17,Jean-Guy Talbot,Jean-Guy,Talbot,D,42501,170,July 11 1932,5
21,Gilles Tremblay,Gilles,Tremblay,LW,42500,170,December 17 1938,5
3,J.C. Tremblay,J.C.,Tremblay,D,42501,170,January 22 1939,5
11,Bob Turner,Bob,Turner,D,36678,170,January 31 1934,5
10,George Armstrong,George,Armstrong,C,42522,184,July 6 1930,6
21,Bob Baun,Bob,Baun,D,42499,175,September 9 1936,6
1,Johnny Bower,Johnny,Bower,G,42501,189,November 8 1924,6
2,Carl Brewer,Carl,Brewer,D,42499,180,October 21 1938,6
9,Dick Duff,Dick,Duff,LW,42499,166,February 18 1936,6
25,Garry Edmundson,Garry,Edmundson,LW,36678,173,May 6 1932,6
17,Gerry Ehman,Gerry,Ehman,RW,36678,190,November 3 1932,6
15,Billy Harris,Billy,Harris,C,36678,155,July 29 1935,6
22,Larry Hillman,Larry,Hillman,D,36678,185,February 5 1937,6
7,Tim Horton,Tim,Horton,D,42500,180,January 12 1930,6
24,Gary Jarrett,Gary,Jarrett,LW,42498,170,September 3 1942,6
4,Red Kelly,Red,Kelly,C,42501,180,July 9 1927,6
14,Dave Keon,Dave,Keon,C,42499,165,March 22 1940,6
25,John MacMillan,John,MacMillan,W,42500,185,October 25 1935,6
27,Frank Mahovlich,Frank,Mahovlich,C/LW,36678,205,January 10 1938,6
1,Cesare Maniago,Cesare,Maniago,G,42524,195,January 13 1939,6
24,Jack Martin,Jack,Martin,C,42501,184,November 29 1940,6
1,Gerry McNamara,Gerry,McNamara,G,42523,190,September 22 1934,6
11,Bob Nevin,Bob,Nevin,RW,36678,185,March 18 1938,6
16,Bert Olmstead,Bert,Olmstead,LW,42522,180,September 4 1926,6
20,Bob Pulford,Bob,Pulford,C,42501,188,March 31 1936,6
8,Larry Regan,Larry,Regan,W,42499,162,August 9 1930,6
23,Eddie Shack,Eddie,Shack,LW,42522,200,February 11 1937,6
26,Allan Stanley,Allan,Stanley,D,42522,170,March 1 1926,6
12,Ron Stewart,Ron,Stewart,C,42522,197,July 11 1932,6
19,Johnny Wilson,Johnny,Wilson,LW,42501,168,June 14 1929,6
