No.,Player,FullName,FirstName,LastName,Pos,Age,Ht,Wt,S/C,Exp,Birth Date,Summary,Team
12,Val Fonteyne\fonteva01,Val Fonteyne,Val,Fonteyne,LW,27,10-May,160,L/-,1,December 2 1933,6 G 11 A 17 P,2
15,Howie Glover\gloveho01,Howie Glover,Howie,Glover,RW,25,11-May,180,R/-,1,February 14 1935,21 G 8 A 29 P,2
5,Warren Godfrey\godfrwa01,Warren Godfrey,Warren,Godfrey,D,29,1-Jun,190,L/-,8,March 23 1931,3 G 16 A 19 P,2
2,Pete Goegan\goegape01,Pete Goegan,Pete,Goegan,D,26,1-Jun,195,L/-,3,March 6 1934,5 G 29 A 34 P,2
22,Len Haley\haleyle01,Len Haley,Len,Haley,RW,29,6-May,160,R/-,1,September 15 1931,1 G 0 A 1 P,2
5,Rich Healey\healeri01,Rich Healey,Rich,Healey,D,22,10-May,170,L/-,R,March 12 1938,0 G 0 A 0 P,2
9,Gordie Howe (C)\howego01,Gordie Howe (C),Gordie,Howe (C),RW,32,Jun-00,205,R/-,14,March 31 1928,23 G 49 A 72 P,2
17,Allan Johnson\johnsal01,Allan Johnson,Allan,Johnson,RW,25,11-May,180,R/-,1,March 30 1935,16 G 21 A 37 P,2
8,Leo Labine\labinle01,Leo Labine,Leo,Labine,RW,29,10-May,170,R/-,9,July 22 1931,2 G 9 A 11 P,2
16,Claude Laforge\laforcl01,Claude Laforge,Claude,Laforge,LW,24,9-May,172,L/-,2,July 1 1936,1 G 0 A 1 P,2
20,Len Lunde\lundele01,Len Lunde,Len,Lunde,C,24,1-Jun,194,R/-,2,November 13 1936,6 G 12 A 18 P,2
19,Parker MacDonald\macdopa01,Parker MacDonald,Parker,MacDonald,C,27,11-May,160,L/-,5,June 14 1933,14 G 12 A 26 P,2
16,Bruce MacGregor\macgrbr01,Bruce MacGregor,Bruce,MacGregor,C,19,10-May,180,R/-,R,April 26 1941,0 G 1 A 1 P,2
21,John McKenzie\mckenjo01,John McKenzie,John,McKenzie,RW,23,9-May,175,R/-,2,December 12 1937,3 G 1 A 4 P,2
14,Gerry Melnyk\melnyge01,Gerry Melnyk,Gerry,Melnyk,C,26,10-May,165,R/-,1,September 16 1934,9 G 16 A 25 P,2
18,Gerry Odrowski\odrowge01,Gerry Odrowski,Gerry,Odrowski,D,22,10-May,185,L/-,R,October 4 1938,1 G 4 A 5 P,2
8,Murray Oliver\olivemu01,Murray Oliver,Murray,Oliver,C,23,10-May,170,L/-,2,November 14 1937,11 G 12 A 23 P,2
3,Marcel Pronovost\pronoma01,Marcel Pronovost,Marcel,Pronovost,D,30,Jun-00,190,L/-,10,June 15 1930,6 G 11 A 17 P,2
4,Marc Reaume\reaumma01,Marc Reaume,Marc,Reaume,D,26,1-Jun,185,L/-,6,February 7 1934,0 G 1 A 1 P,2
1,Terry Sawchuk\sawchte01,Terry Sawchuk,Terry,Sawchuk,G,31,11-May,195,-/L,11,December 28 1929,12-16-8 3.13 GAA,2
16,Brian Smith\smithbr01,Brian Smith,Brian,Smith,W,23,Jun-00,180,L/-,2,December 6 1937,0 G 2 A 2 P,2
11,Vic Stasiuk\stasivi01,Vic Stasiuk,Vic,Stasiuk,LW,31,Jun-00,185,L/-,11,May 23 1929,10 G 13 A 23 P,2
7,Norm Ullman\ullmano01,Norm Ullman,Norm,Ullman,C,25,10-May,175,L/-,5,December 26 1935,28 G 42 A 70 P,2
4,Howie Young\youngho01,Howie Young,Howie,Young,RW/D,23,11-May,175,R/-,R,August 2 1937,0 G 8 A 8 P,2
4,Bob Armstrong\armstbo01,Bob Armstrong,Bob,Armstrong,D,29,1-Jun,190,R/-,9,April 7 1931,0 G 10 A 10 P,3
29,Jim Bartlett\bartlji01,Jim Bartlett,Jim,Bartlett,LW,28,9-May,165,L/-,4,May 27 1932,15 G 9 A 24 P,3
20,Leo Boivin\boivile01,Leo Boivin,Leo,Boivin,D,28,8-May,183,L/-,9,August 2 1932,6 G 17 A 23 P,3
9,John Bucyk\bucykjo01,John Bucyk,John,Bucyk,LW,25,Jun-00,215,L/-,5,May 12 1935,19 G 20 A 39 P,3
10,Charlie Burns\burnsch01,Charlie Burns,Charlie,Burns,C,24,11-May,170,L/-,2,February 14 1936,15 G 26 A 41 P,3
12,Billy Carter\cartebi01,Billy Carter,Billy,Carter,C,23,11-May,155,L/-,1,December 2 1937,0 G 0 A 0 P,3
12,Art Chisholm\chishar01,Art Chisholm,Art,Chisholm,C,26,9-May,160,L/-,R,November 11 1934,0 G 0 A 0 P,3
11,Aut Erickson\erickau01,Aut Erickson,Aut,Erickson,D,23,1-Jun,188,L/-,1,January 25 1938,2 G 6 A 8 P,3
14,Fern Flaman (C)\flamafe01,Fern Flaman (C),Fern,Flaman (C),D,34,10-May,190,R/-,16,January 25 1927,2 G 9 A 11 P,3
1,Bruce Gamble\gamblbr01,Bruce Gamble,Bruce,Gamble,G,22,9-May,200,-/L,1,May 24 1938,12-33-7 3.71 GAA,3
23,Jean-Guy Gendron\gendrje01,Jean-Guy Gendron,Jean-Guy,Gendron,LW,26,9-May,165,L/-,5,August 30 1934,1 G 7 A 8 P,3
6,Ted Green\greente01,Ted Green,Ted,Green,D,20,10-May,200,R/-,R,March 23 1940,0 G 0 A 0 P,3
6,Bronco Horvath\horvabr01,Bronco Horvath,Bronco,Horvath,C,30,11-May,185,L/-,5,March 12 1930,15 G 15 A 30 P,3
16,Leo Labine\labinle01,Leo Labine,Leo,Labine,RW,29,10-May,170,R/-,9,July 22 1931,7 G 12 A 19 P,3
25,Tom McCarthy\mccarto01,Tom McCarthy,Tom,McCarthy,LW,26,1-Jun,191,L/-,3,September 15 1934,4 G 5 A 9 P,3
17,Don McKenney\mckendo01,Don McKenney,Don,McKenney,C,26,Jun-00,160,L/-,6,April 30 1934,26 G 23 A 49 P,3
22,Dick Meissner\meissdi01,Dick Meissner,Dick,Meissner,RW,21,11-May,200,R/-,1,January 6 1940,0 G 1 A 1 P,3
19,Doug Mohns\mohnsdo01,Doug Mohns,Doug,Mohns,D,27,Jun-00,185,L/-,7,December 13 1933,12 G 21 A 33 P,3
22,Willie O'Ree\oreewi01,Willie O'Ree,Willie,O'Ree,LW,25,10-May,175,L/-,1,October 15 1935,4 G 10 A 14 P,3
16,Murray Oliver\olivemu01,Murray Oliver,Murray,Oliver,C,23,10-May,170,L/-,2,November 14 1937,6 G 10 A 16 P,3
12,Gerry Ouellette\ouellge01,Gerry Ouellette,Gerry,Ouellette,RW,22,9-May,170,R/-,R,November 1 1938,5 G 4 A 9 P,3
23,Andre Pronovost\pronoan01,Andre Pronovost,Andre,Pronovost,LW,24,10-May,188,L/-,4,July 9 1936,11 G 11 A 22 P,3
1,Don Simmons\simmodo01,Don Simmons,Don,Simmons,G,29,10-May,150,-/R,4,September 13 1931,3-9-6 3.23 GAA,3
8,Dallas Smith\smithda01,Dallas Smith,Dallas,Smith,D,19,11-May,180,L/-,1,October 10 1941,1 G 9 A 10 P,3
7,Vic Stasiuk\stasivi01,Vic Stasiuk,Vic,Stasiuk,LW,31,Jun-00,185,L/-,11,May 23 1929,5 G 25 A 30 P,3
18,Orval Tessier\tessior01,Orval Tessier,Orval,Tessier,C,27,8-May,160,L/-,2,June 30 1933,3 G 4 A 7 P,3
21,Jerry Toppazzini\toppaje01,Jerry Toppazzini,Jerry,Toppazzini,RW,29,Jun-00,180,R/-,8,July 29 1931,15 G 35 A 50 P,3
11,Dave Balon\balonda01,Dave Balon,Dave,Balon,LW,22,10-May,180,L/-,1,August 2 1938,1 G 2 A 3 P,4
9,Andy Bathgate\bathgan01,Andy Bathgate,Andy,Bathgate,RW,28,Jun-00,180,R/-,8,August 28 1932,29 G 48 A 77 P,4
19,Danny Belisle\belisda01,Danny Belisle,Danny,Belisle,RW,23,10-May,164,R/-,R,May 9 1937,2 G 0 A 2 P,4
14,Brian Cullen\cullebr01,Brian Cullen,Brian,Cullen,C,27,10-May,160,L/-,6,November 11 1933,11 G 19 A 30 P,4
19,Bob Cunningham\cunnibo01,Bob Cunningham,Bob,Cunningham,C/LW,19,11-May,168,L/-,R,February 26 1941,0 G 1 A 1 P,4
8,Lou Fontinato\fontilo01,Lou Fontinato,Lou,Fontinato,D,29,1-Jun,195,L/-,6,January 20 1932,2 G 3 A 5 P,4
4,Bill Gadsby\gadsbbi01,Bill Gadsby,Bill,Gadsby,D,33,Jun-00,180,L/-,14,August 8 1927,9 G 26 A 35 P,4
16,Rod Gilbert\gilbero01,Rod Gilbert,Rod,Gilbert,RW,19,9-May,180,R/-,R,July 1 1941,0 G 1 A 1 P,4
19,Wayne Hall\hallwa01,Wayne Hall,Wayne,Hall,LW,21,9-May,165,L/-,R,May 22 1939,0 G 0 A 0 P,4
22,Ted Hampson\hampste01,Ted Hampson,Ted,Hampson,C,24,8-May,173,L/-,1,December 11 1936,6 G 14 A 20 P,4
2,John Hanna\hannajo01,John Hanna,John,Hanna,D,25,11-May,175,R/-,2,April 5 1935,1 G 8 A 9 P,4
6,Pat Hannigan\hannipa01,Pat Hannigan,Pat,Hannigan,LW,24,10-May,183,R/-,1,March 5 1936,11 G 9 A 20 P,4
12,Andy Hebenton\hebenan01,Andy Hebenton,Andy,Hebenton,RW,31,9-May,180,L/-,5,October 3 1929,26 G 28 A 54 P,4
21,Camille Henry\henryca01,Camille Henry,Camille,Henry,C,28,9-May,152,L/-,6,January 31 1933,28 G 25 A 53 P,4
3,Harry Howell\howelha01,Harry Howell,Harry,Howell,D,28,1-Jun,195,L/-,8,December 28 1932,7 G 10 A 17 P,4
11,Ron Hutchinson\hutchro01,Ron Hutchinson,Ron,Hutchinson,C,24,10-May,165,L/-,R,October 24 1936,0 G 0 A 0 P,4
10,Earl Ingarfield\ingarea01,Earl Ingarfield,Earl,Ingarfield,C,26,11-May,185,L/-,2,October 25 1934,13 G 21 A 34 P,4
5,Don Johns\johnsdo01,Don Johns,Don,Johns,D,23,Jun-00,180,R/-,R,December 13 1937,1 G 7 A 8 P,4
11,Bob Kabel\kabelbo01,Bob Kabel,Bob,Kabel,C,26,Jun-00,183,R/-,1,November 11 1934,0 G 2 A 2 P,4
25,Orland Kurtenbach\kurteor01,Orland Kurtenbach,Orland,Kurtenbach,C,24,2-Jun,180,L/-,R,September 7 1936,0 G 6 A 6 P,4
18,Phil Latreille\latreph01,Phil Latreille,Phil,Latreille,RW,22,10-May,185,R/-,R,April 22 1938,0 G 0 A 0 P,4
18,Al LeBrun\lebrual01,Al LeBrun,Al,LeBrun,D,20,Jun-00,185,R/-,R,December 1 1940,0 G 2 A 2 P,4
1,Jack McCartan\mccarja01,Jack McCartan,Jack,McCartan,G,25,1-Jun,195,L/-,1,August 5 1935,1-6-1 4.77 GAA,4
2,Jim Morrison\morriji01,Jim Morrison,Jim,Morrison,D,29,10-May,183,L/-,9,October 11 1931,1 G 6 A 7 P,4
1,Marcel Paille\paillma01,Marcel Paille,Marcel,Paille,G,28,8-May,175,-/L,3,December 8 1932,1-2-1 4.00 GAA,4
19,Larry Popein\popeila01,Larry Popein,Larry,Popein,C,30,10-May,165,L/-,6,August 11 1930,0 G 1 A 1 P,4
17,Dean Prentice\prentde01,Dean Prentice,Dean,Prentice,LW,28,11-May,180,L/-,8,October 5 1932,20 G 25 A 45 P,4
15,Noel Price\priceno01,Noel Price,Noel,Price,D,25,Jun-00,190,L/-,3,December 9 1935,0 G 0 A 0 P,4
14,Jean Ratelle\ratelje01,Jean Ratelle,Jean,Ratelle,C,20,1-Jun,180,L/-,R,October 3 1940,2 G 1 A 3 P,4
16,Leon Rochefort\rochele01,Leon Rochefort,Leon,Rochefort,RW,21,Jun-00,185,R/-,R,May 4 1939,0 G 0 A 0 P,4
19,Len Ronson\ronsole01,Len Ronson,Len,Ronson,LW,24,9-May,175,L/-,R,July 8 1936,2 G 1 A 3 P,4
1,Joe Schaefer\schaejo01,Joe Schaefer,Joe,Schaefer,G,36,8-May,165,-/L,1,December 21 1924,0-1-0 3.83 GAA,4
18,Ken Schinkel\schinke01,Ken Schinkel,Ken,Schinkel,RW,28,10-May,172,R/-,1,November 27 1932,2 G 6 A 8 P,4
6,Eddie Shack\shacked01,Eddie Shack,Eddie,Shack,LW,23,1-Jun,200,L/-,2,February 11 1937,1 G 2 A 3 P,4
19,Floyd Smith\smithfl01,Floyd Smith,Floyd,Smith,RW,25,10-May,180,R/-,2,May 16 1935,5 G 9 A 14 P,4
15,Irv Spencer\spencir01,Irv Spencer,Irv,Spencer,D,23,10-May,180,L/-,1,December 4 1937,1 G 8 A 9 P,4
7,Red Sullivan (C)\sullire01,Red Sullivan (C),Red,Sullivan (C),C,31,11-May,155,L/-,9,December 24 1929,9 G 31 A 40 P,4
16,Johnny Wilson\wilsojo01,Johnny Wilson,Johnny,Wilson,LW,31,11-May,168,L/-,10,June 14 1929,14 G 12 A 26 P,4
1,Gump Worsley\worslgu01,Gump Worsley,Gump,Worsley,G,31,7-May,180,-/L,7,May 14 1929,20-29-8 3.28 GAA,4
6,Ralph Backstrom\backsra01,Ralph Backstrom,Ralph,Backstrom,C,23,10-May,165,L/-,4,September 18 1937,12 G 20 A 32 P,5
4,Jean Beliveau\belivje01,Jean Beliveau,Jean,Beliveau,C,29,3-Jun,205,L/-,9,August 31 1931,32 G 58 A 90 P,5
18,Marcel Bonin\boninma01,Marcel Bonin,Marcel,Bonin,W,28,10-May,170,L/-,7,September 12 1932,16 G 35 A 51 P,5
15-24,Wayne Connelly\connewa01,Wayne Connelly,Wayne,Connelly,C,21,10-May,170,R/-,R,December 16 1939,0 G 0 A 0 P,5
3,Jean Gauthier\gauthje01,Jean Gauthier,Jean,Gauthier,D,23,1-Jun,190,R/-,R,April 29 1937,0 G 1 A 1 P,5
15,Jean-Guy Gendron\gendrje01,Jean-Guy Gendron,Jean-Guy,Gendron,LW,26,9-May,165,L/-,5,August 30 1934,9 G 12 A 21 P,5
5,Bernie Geoffrion\geoffbe01,Bernie Geoffrion,Bernie,Geoffrion,RW,29,9-May,166,R/-,10,February 16 1931,50 G 45 A 95 P,5
20,Phil Goyette\goyetph01,Phil Goyette,Phil,Goyette,C,27,11-May,170,L/-,4,October 31 1933,7 G 4 A 11 P,5
2,Doug Harvey (C)\harvedo01,Doug Harvey (C),Doug,Harvey (C),D,36,11-May,187,L/-,13,December 19 1924,6 G 33 A 39 P,5
8,Bill Hicke\hickebi01,Bill Hicke,Bill,Hicke,RW,22,8-May,164,L/-,1,March 31 1938,18 G 27 A 45 P,5
29,Charlie Hodge\hodgech01,Charlie Hodge,Charlie,Hodge,G,27,6-May,150,-/L,4,July 28 1933,18-8-4 2.47 GAA,5
10,Tom Johnson\johnsto01,Tom Johnson,Tom,Johnson,D,32,Jun-00,180,L/-,11,February 18 1928,1 G 15 A 16 P,5
19,Albert Langlois\langlal01,Albert Langlois,Albert,Langlois,D,26,Jun-00,205,L/-,3,November 6 1934,1 G 12 A 13 P,5
22,Don Marshall\marshdo01,Don Marshall,Don,Marshall,C,28,10-May,160,L/-,7,March 23 1932,14 G 17 A 31 P,5
12,Dickie Moore\mooredi01,Dickie Moore,Dickie,Moore,LW,30,10-May,168,L/-,9,January 6 1931,35 G 34 A 69 P,5
25,Cliff Pennington\pennicl01,Cliff Pennington,Cliff,Pennington,C,20,Jun-00,170,R/-,R,April 18 1940,1 G 0 A 1 P,5
1,Jacques Plante\plantja01,Jacques Plante,Jacques,Plante,G,32,Jun-00,175,-/L,8,January 17 1929,23-11-6 2.80 GAA,5
23,Andre Pronovost\pronoan01,Andre Pronovost,Andre,Pronovost,LW,24,10-May,188,L/-,4,July 9 1936,1 G 5 A 6 P,5
14,Claude Provost\provocl01,Claude Provost,Claude,Provost,RW,27,9-May,168,R/-,5,September 17 1933,11 G 4 A 15 P,5
16,Henri Richard\richahe01,Henri Richard,Henri,Richard,C,24,7-May,160,R/-,5,February 29 1936,24 G 44 A 68 P,5
15-24,Bobby Rousseau\roussbo01,Bobby Rousseau,Bobby,Rousseau,RW,20,10-May,178,R/-,R,July 26 1940,1 G 2 A 3 P,5
25,Glen Skov\skovgl01,Glen Skov,Glen,Skov,C,30,2-Jun,180,L/-,11,January 26 1931,0 G 0 A 0 P,5
17,Jean-Guy Talbot\talboje01,Jean-Guy Talbot,Jean-Guy,Talbot,D,28,11-May,170,L/-,6,July 11 1932,5 G 26 A 31 P,5
21,Gilles Tremblay\trembgi01,Gilles Tremblay,Gilles,Tremblay,LW,22,10-May,170,L/-,R,December 17 1938,7 G 11 A 18 P,5
3,J.C. Tremblay\trembjc01,J.C. Tremblay,J.C.,Tremblay,D,22,11-May,170,L/-,1,January 22 1939,1 G 3 A 4 P,5
11,Bob Turner\turnebo01,Bob Turner,Bob,Turner,D,27,Jun-00,170,L/-,5,January 31 1934,2 G 2 A 4 P,5
10,George Armstrong (C)\armstge01,George Armstrong (C),George,Armstrong (C),C,30,1-Jun,184,R/-,10,July 6 1930,14 G 19 A 33 P,6
21,Bob Baun\baunbo01,Bob Baun,Bob,Baun,D,24,9-May,175,R/-,4,September 9 1936,1 G 14 A 15 P,6
1,Johnny Bower\bowerjo01,Johnny Bower,Johnny,Bower,G,36,11-May,189,-/L,5,November 8 1924,33-15-10 2.50 GAA,6
2,Carl Brewer\breweca01,Carl Brewer,Carl,Brewer,D,22,9-May,180,L/-,3,October 21 1938,1 G 14 A 15 P,6
9,Dick Duff\duffdi01,Dick Duff,Dick,Duff,LW,24,9-May,166,L/-,6,February 18 1936,16 G 17 A 33 P,6
25,Garry Edmundson\edmunga01,Garry Edmundson,Garry,Edmundson,LW,28,Jun-00,173,L/-,2,May 6 1932,0 G 0 A 0 P,6
17,Gerry Ehman\ehmange01,Gerry Ehman,Gerry,Ehman,RW,28,Jun-00,190,R/-,3,November 3 1932,1 G 1 A 2 P,6
15,Billy Harris\harribi01,Billy Harris,Billy,Harris,C,25,Jun-00,155,L/-,5,July 29 1935,12 G 27 A 39 P,6
22,Larry Hillman\hillmla01,Larry Hillman,Larry,Hillman,D,23,Jun-00,185,L/-,6,February 5 1937,3 G 10 A 13 P,6
7,Tim Horton\hortoti01,Tim Horton,Tim,Horton,D,31,10-May,180,R/-,10,January 12 1930,6 G 15 A 21 P,6
24,Gary Jarrett\jarrega01,Gary Jarrett,Gary,Jarrett,LW,18,8-May,170,L/-,R,September 3 1942,0 G 0 A 0 P,6
4,Red Kelly\kellyre01,Red Kelly,Red,Kelly,C,33,11-May,180,L/-,13,July 9 1927,20 G 50 A 70 P,6
14,Dave Keon\keonda01,Dave Keon,Dave,Keon,C,20,9-May,165,L/-,R,March 22 1940,20 G 25 A 45 P,6
25,John MacMillan\macmijo01,John MacMillan,John,MacMillan,W,25,10-May,185,L/-,R,October 25 1935,3 G 5 A 8 P,6
27,Frank Mahovlich\mahovfr01,Frank Mahovlich,Frank,Mahovlich,C/LW,23,Jun-00,205,L/-,4,January 10 1938,48 G 36 A 84 P,6
1,Cesare Maniago\maniace01,Cesare Maniago,Cesare,Maniago,G,22,3-Jun,195,-/L,R,January 13 1939,4-2-1 2.43 GAA,6
24,Jack Martin\martija01,Jack Martin,Jack,Martin,C,20,11-May,184,L/-,R,November 29 1940,0 G 0 A 0 P,6
1,Gerry McNamara\mcnamge02,Gerry McNamara,Gerry,McNamara,G,26,2-Jun,190,-/L,R,September 22 1934,2-2-1 2.40 GAA,6
11,Bob Nevin\nevinbo01,Bob Nevin,Bob,Nevin,RW,22,Jun-00,185,R/-,2,March 18 1938,21 G 37 A 58 P,6
16,Bert Olmstead\olmstbe01,Bert Olmstead,Bert,Olmstead,LW,34,1-Jun,180,L/-,12,September 4 1926,18 G 34 A 52 P,6
20,Bob Pulford\pulfobo01,Bob Pulford,Bob,Pulford,C,24,11-May,188,L/-,4,March 31 1936,11 G 18 A 29 P,6
8,Larry Regan\reganla01,Larry Regan,Larry,Regan,W,30,9-May,162,R/-,4,August 9 1930,3 G 5 A 8 P,6
23,Eddie Shack\shacked01,Eddie Shack,Eddie,Shack,LW,23,1-Jun,200,L/-,2,February 11 1937,14 G 14 A 28 P,6
26,Allan Stanley\stanlal01,Allan Stanley,Allan,Stanley,D,34,1-Jun,170,L/-,12,March 1 1926,9 G 25 A 34 P,6
12,Ron Stewart\stewaro01,Ron Stewart,Ron,Stewart,C,28,1-Jun,197,R/-,8,July 11 1932,13 G 12 A 25 P,6
19,Johnny Wilson\wilsojo01,Johnny Wilson,Johnny,Wilson,LW,31,11-May,168,L/-,10,June 14 1929,0 G 1 A 1 P,6
